"canonical_id","display_name","namespace","version_kind","date_start","date_updated","first_evidence_date","result_run_date","interpretation_updated_at","status","current_truth_role","lineage_confidence","parent_id","supersedes_ids","context_ids","main_change","data_change","method_change","result_presentation_change","current_use","evidence_visibility","public_evidence_paths","notes"
"scale-search-region-first","Region-first scale search","scale","scale_search","2026-06-11","","2026-06-11","2026-06-11","","reference","scale_selection_context","three-source-confirmed","analysis-ggcp10-baseline-suite","","ggcp10-mediation-ext","Scanned 256 Gxxx rules and cluster-revalidated 208 high-score candidates under a region-first ranking","以GGCP10 aggregated panel和V3变量构造256个布尔scale；统一最低ggcp10_maize_frac≥0.05；208个高分候选进入cluster复核","先OLS扫描region-specific scaled buffer再以grid-cluster FE复核；region-first评分结合NE drought、HHH heat/hot-dry和辅助分数；seed按脚本固定","产出ranking CSV、story cards、公开Markdown和本地详细报告；用于透明selection context而非预注册","Exploratory selection context","mixed","repo://docs/results/scale-search-region-first/report.md|local://quality_reports/2026-06-11_region_first_story_search.md|repo://scripts/python/region_first_story_search.py","Scale selection is transparent exploratory analysis and not preregistration"
"scale-g057","G057 scale","scale","sample_rule","2026-06-11","","2026-06-11","2026-06-11","","reference","scale_reference","three-source-confirmed","scale-search-region-first","","","Ranked first in the exploratory region-first search with a region-specific hazard pattern","从候选规则生成G057 mask；相对其他scale使用其独立规则向量和样本；不能共享估计结果","沿用region-first FE和scaled-buffer评估；grid/year FE、grid cluster；pooled Wald用于区域差异核对","作为探索排名第一的参考scale呈现；公开报告保留方向和显著性限制；不称唯一最优","Selection reference","mixed","repo://docs/results/scale-search-region-first/report.md|local://quality_reports/2026-06-11_region_first_story_search.md|repo://scripts/stata/verify_story_g057_g185.do","NW evidence remains directional and G057 is not uniquely optimal"
scale-g185,G185 scale,scale,sample_rule,2026-06-11,,2026-06-11,2026-06-11,,current,current_analysis_scale,three-source-confirmed,scale-search-region-first,,,"Retained main_sample, yield-domain, yield-jump and SM-SD rules while omitting the other optional rules",规则固定为ggcp10_maize_frac≥0.05且main_sample、yield_domain、yield_jump、sm_sd为1，其余可选规则为0；N=46299、grids=13236,样本选择由region-first search透明产生；后续方法必须在同一G185 mask上运行；规则或计数变化即创建新scale ID,公开scale-search报告、G185运行manifest和Stata复核；固定规则向量、46299行与13236 grids；严禁混入G057/G049数值,Current G185 analysis sample,public,repo://docs/results/scale-g185/run-manifest.md|repo://docs/results/scale-search-region-first/report.md|repo://scripts/stata/verify_story_g057_g185.do|repo://quality_reports/handoffs/2026-06-21_g185_method_upgrade_report_handoff.md,Frozen rule yields 46299 rows and 13236 grids; any rule or count change requires a new scale ID
"scale-g049","G049 scale","scale","sample_rule","2026-06-11","","2026-06-11","2026-06-11","","reference","scale_reference","three-source-confirmed","scale-search-region-first","","","Registered the near-twin of G057 with one fewer SM quality rule","以G049独立规则mask形成近似G057的样本；相对G057少一项SM质量规则；样本不等同G185","使用同一region-first评估和grid-cluster FE复核框架；单独脚本测试区域故事","仅作为near-twin敏感性参考；结果不进入G185 claim；公开报告标注selection context","Selection reference","mixed","repo://docs/results/scale-search-region-first/report.md|local://quality_reports/2026-06-11_region_first_story_search.md|repo://scripts/python/g049_region_story_test.py","Do not mix its estimates into G185 claims"
"scale-b067-g195","B067 and G195 legacy scales","scale","sample_rule_alias_group","","2026-06-11","2026-06-04","","","reference","legacy_scale_reference","two-source-supported","scale-search-region-first","","","Registered the historical national B067 rule and its G195 mapping in the expanded scale enumeration","登记旧B067样本及其在256规则枚举中的G195映射；原始形成日期未知；不推定与G185相同样本","历史national/phenology规则映射；方法细节仅由现存scale search材料部分恢复；不作为当前estimand","以legacy mapping形式出现在scale报告；不发布为当前结果；lineage confidence为mixed","Legacy comparison reference","mixed","repo://docs/results/scale-search-region-first/report.md|local://quality_reports/2026-06-11_region_first_story_search.md","Original formation date remains unknown"
"g185-draft-bootstrap-v1","G185 draft bootstrap v1","g185","analysis_release","2026-06-20","","2026-06-20","2026-06-20","2026-06-24","superseded","historical_g185_construction","three-source-confirmed","scale-g185","","","Built G185-only two-equation, region, continuous irrigation and phenology results with wild-score bootstrap intervals","输入GGCP10 aggregated base、data-v3变量和冻结G185 mask；N=46299、grids=13236；五命名区模型排除Other","grid/year FE两方程IE/DE/TE、region FE、continuous irrigation triple及phenology compound模型；grid wild-score linearized bootstrap 999 reps；seed 42","产出本地manuscript、描述统计、表和四图；早期将部分DE数值写成TE；解释已由2026-06-24修正版取代","Historical construction logic","mixed","repo://quality_reports/plans/2026-06-20_g185_draft_bootstrap_plan.md|repo://scripts/python/build_g185_draft_bootstrap_v1.py|local://quality_reports/agent_runs/2026-06-20_g185_draft_bootstrap_v1","Regional DE values were later mislabelled as TE and are superseded"
"g185-method-upgrade","G185 method-upgrade report","g185","analysis_release","2026-06-20","2026-07-10","2026-06-20","2026-06-20","2026-07-10","current_parallel","current_fixed_effects_and_ml_appendix","three-source-confirmed","g185-draft-bootstrap-v1","","scale-g185","Made fixed-effect damage-avoidance margins the main evidence and retained econml, DoubleML and R grf as appendix heterogeneity concordance checks","继续使用完全相同的G185输入和sample；不引入G057/G049数据；FE主表直接读取draft-bootstrap输出","固定效应damage-avoidance margins作为主estimand；econml、DoubleML和R grf仅作异质性concordance；FE bootstrap 999 reps、seed 42，ML参数由requirements和run config锁定","新增自包含HTML、Markdown、ML附录图表和公开摘要；叙事改为conditional association；作为当前并行方法入口","Current parallel method entry","public","repo://docs/results/g185-method-upgrade/report.md|repo://quality_reports/handoffs/2026-06-21_g185_method_upgrade_report_handoff.md|repo://scripts/python/build_g185_method_upgrade_report.py","The fixed-effect main tables are read from the draft-bootstrap run; ML does not validate an adoption impact"
"g185-response-surface-v3","G185 response-surface v3","g185","analysis_release","2026-06-21","","2026-06-21","2026-06-21","","reviewed_sensitivity","reviewed_alternative_method","three-source-confirmed","scale-g185","","g185-method-upgrade","Added restricted-cubic low-degree drought-heat surfaces, spatial-block inference and explicit claim adjudication","使用同一G185 mask但为surface模型重新构造complete-case与区域样本；N规则不变；不替代旧方法输入","四结点restricted cubic drought-heat surface、region-specific SR×surface；grid FE加province-year FE；2度spatial-block Rademacher wild-score final 1999 reps；seed 20260620","产出review bundle、claim adjudication、surface图和公开Markdown；明确NE drought/SM consistency不支持及其他敏感项；仅作reviewed sensitivity","Reviewed alternative-method sensitivity","mixed","repo://docs/results/g185-response-surface-v3/report.md|local://quality_reports/agent_runs/2026-06-20_g185_response_surface_v3/00_README_FOR_REVIEW.md|local://quality_reports/agent_runs/2026-06-20_g185_response_surface_v3/17_review_summary.md|repo://scripts/python/run_all_g185_v3.py","Different estimand from the old-method decomposition; it cannot be described as validation of that result"
"g185-old-method-corrected","G185 corrected old-method IE-DE-TE","g185","analysis_release","2026-06-24","2026-07-10","2026-06-24","2026-06-24","2026-07-10","current","current_old_method_te","three-source-confirmed","scale-g185","g185-draft-bootstrap-v1","g185-method-upgrade","Recomputed regional IE, DE and TE and corrected the earlier DE-as-TE interpretation","使用同一G185 mask、root-zone GLEAM mediator和raw hazard变量；区域内P25/P75 SR及P90 hazard重新计算；不改变数据版本","旧线性grid/year FE两方程；IE=(a1+a3s)b、DE=c1+c3s、TE=IE+DE；grid wild-score linearized bootstrap 999 reps；seed 42","重新绘制region IE/DE/TE表和图；纠正1.50%、3.27%、2.56%为DE而非TE；当前旧方法真值由公开Markdown呈现","Current truth for old-method regional TE","public","repo://docs/results/g185-old-method-corrected/report.md|repo://quality_reports/handoffs/2026-06-21_g185_method_upgrade_report_handoff.md|repo://scripts/python/export_g185_old_method_region_tiede_redraw.py","IE、DE和TE是两方程代数组件，不是已识别因果中介；现有research-g185-old-method-corrected-2026.07.13 tag与同名Release对应包含多个公开结果族的Git复合基线，不是本运行的同期历史快照"
"g185-region-irrigation-boundary","G185 regional irrigation boundary","g185","analysis_release","2026-06-24","","2026-06-24","2026-06-24","","current_parallel","current_irrigation_boundary","three-source-confirmed","scale-g185","","g185-method-upgrade","Estimated region-specific continuous irrigation triple interactions and support-aware margins","使用同一G185 mask并在五区域内计算连续irr_frac支持、SR IQR和hazard P90；与IE/DE/TE共用数据但不共用estimand","region-specific hazard×SR×irrigation triple interaction；grid/year FE；grid wild-score linearized bootstrap 999 reps；seed 42；报告P5-P95支持与P25/P50/P75 margins","产出区域灌溉边界图、tables、assertions和公开Markdown；NE drought支持，HHH heat/hot-dry区间跨零；作为当前独立并行结果","Current separate boundary result","mixed","repo://docs/results/g185-region-irrigation-boundary/report.md|local://quality_reports/agent_runs/2026-06-24_g185_region_specific_irrigation_boundary/README_FOR_REGION_IRRIGATION.md|repo://scripts/python/export_g185_region_specific_irrigation_boundary.py","Separate estimand from IE-DE-TE; HHH heat and hot-dry intervals cross zero while NE drought is supported"
"regional-threshold-sr-v1","Regional heterogeneous temperature threshold SR direction v1","analysis","reviewed_failure_record","2026-07-14","2026-07-15","2026-07-14","2026-07-14","2026-07-15","reference","reviewed_failure_stop_data_support","git-native","data-v3-main","","data-v3-phenowindows","Audited the official continuous maize heat-damage threshold before any yield model and stopped at the frozen five-zone coverage gate","使用69,038行V3 Stata面板与官方0.5度maize.tif；五区pre-EDD complete-case为66,396行、21,337 grids；西南有效阈值覆盖12,637/18,094=69.8408%","仅执行原始PixelIsArea单元中心映射和确定性覆盖审计；未执行EDD、固定效应、bootstrap、物候窗口或产量模型","发布Stage 1失败报告、机器manifest和独立Round 3审查；报告完整五区覆盖及不得用插值解除STOP的边界","Reviewed failure evidence only; not a submission candidate","mixed","repo://docs/results/regional-threshold-sr-v1/report.md|repo://quality_reports/plans/2026-07-14_threshold_review_round3_pass.md|local://temp/2026-07-14_regional_threshold_stage1_audit_v5/run_manifest.json","PASS_PUBLIC_STOP_REPORT 97/100; STOP_DATA_SUPPORT_GATE; no SR buffering coefficient exists"
"g185-old-method-unified-v1","G185 old-method unified direction v1","g185","reviewed_failure_record","2026-07-14","2026-07-15","2026-07-14","2026-07-15","2026-07-15","reference","reviewed_failure_stop_stability","git-native","g185-old-method-corrected","","scale-g185|g185-method-upgrade","Unified the historical linear two-equation evidence and added province-by-year fixed effects, spatial-block inference and explicit stability adjudication","沿用冻结G185虚拟样本46,299行、13,236 grids；五命名区44,556行、12,745 grids；输入哈希与双样本键哈希均登记","复现IE=(a1+a3s)b、DE=c1+c3s、TE=IE+DE，并新增grid FE+province-year FE、2度Rademacher/Webb 1,999次、Romano-Wolf、Holm及100/200/300 km HAC","发布包含全部15组区域结果的完整失败报告；东北干旱同向draw 84.1921%低于90%门槛，因此不生成投稿图或候选小稿","Reviewed failure evidence only; not a submission candidate","mixed","repo://docs/results/g185-old-method-unified-v1/report.md|repo://quality_reports/plans/2026-07-15_g185_full_stop_v2_package_review_round2.md|local://temp/2026-07-15_g185_old_method_unified_full_stop_v2/full_manifest.json","PASS_FAILURE_PACKAGE does not lift FULL_STOP; the historical corrected result remains a context version rather than a successful descendant claim"
"compound-event-intensity-duration-v1","Compound-event intensity-duration SR direction v1","analysis","reviewed_failure_record","2026-07-15","2026-07-15","2026-07-15","2026-07-15","2026-07-15","reference","reviewed_failure_stop_smoke_review","git-native","data-v3-main","","data-v3-phenowindows|analysis-v3prhd","Designed the hot-dry event intensity-duration and soil-moisture timing interface, then stopped after the second small-smoke review retained a reproducibility Major","small smoke使用V3面板及2016-2019对齐Tmax、降水、GLEAM SMrz；仅40个grid-years和75条事件接口记录；全量五区支持审计未完成","事件定义固定为窗口内Tmax>=32C且降水<1 mm连续至少3天；仅测试事件、antecedent SM、drawdown和recovery接口；未估计FE、IPCW/RMST或产量模型","发布两轮small-smoke审查失败报告；Round 2因第三个runner测试文件未锁定输入身份而STOP_AT_SMOKE_REVIEW","Reviewed failure evidence only; not a submission candidate","mixed","repo://docs/results/compound-event-intensity-duration-v1/report.md|repo://quality_reports/plans/2026-07-15_hotdry_event_smoke_review_round2_stop.md|local://temp/2026-07-15_compound_event_interface_smoke_v2/run_manifest.json","Design review passed 92/100, but smoke review stopped at 89/100 after the frozen two-round limit; no support counts or empirical coefficients may be claimed"
"g185-old-method-unified-override-v1","G185 old-method unified override v1","g185","analysis_release","2026-07-15","2026-07-18","2026-07-15","2026-07-15","2026-07-18","reference","historical_internal_candidate_under_external_method_revision","git-native","g185-old-method-unified-v1","","scale-g185|g185-old-method-corrected|g185-method-upgrade","Continued the previously stopped G185 branch under the user-authorized nonblocking stability gate and assembled the historical national, continuous regional and five-zone algebraic evidence into one reviewed candidate","沿用冻结G185规则的46,299行、13,236 grids及五命名区44,556行、12,745 grids；未改变G185规则、输入哈希或结果变量口径","复现IE=(a1+a3s)b、DE=c1+c3s、TE=IE+DE；报告grid/year与grid/province-year FE、2度空间块Rademacher/Webb 1,999次、Romano-Wolf/Holm及100/200/300 km HAC","保留2026-07-15内部候选小稿和自包含HTML；2026-07-18增加外部方法审阅提示、低高SR端点分类和强固定效应解释边界；未重新估计模型","Historical internal candidate record with unresolved external method Major; not a current submission candidate","mixed","repo://docs/results/g185-old-method-unified-override-v1/report.html|repo://docs/results/g185-old-method-unified-override-v1/report.md|repo://quality_reports/plans/2026-07-15_g185_override_method_review_round2.md|repo://quality_reports/plans/2026-07-15_g185_override_selfcontained_html_final_review.md|local://temp/2026-07-15_g185_old_method_unified_override_v1/override_manifest.json","内部92分记录不再代表当前投稿就绪度；全国结果必须同时报告P25和P75端点，IE、DE和TE仅为两方程代数组件"
"regional-threshold-sr-override-v1","Regional heterogeneous temperature threshold SR override v1","analysis","reviewed_failure_record","2026-07-15","2026-07-15","2026-07-15","2026-07-15","2026-07-15","reference","reviewed_failure_not_candidate_external_threshold","git-native","regional-threshold-sr-v1","","data-v3-main|data-v3-phenowindows","Continued past the historical coverage gate without imputing thresholds, executed the frozen external-threshold daily exposure model and retained the independent Round 2 failure decision","使用V3主面板、官方连续maize.tif、2016-2019对齐Tmax与SMrz及实际物候NetCDF；阈值有效58,464行，最终模型54,890行、17,450 grids；未插值、外推或回填固定阈值","构造外生连续阈值EDD并估计五区完全交互、共同CA P25/P75、全季及V3-HE和HE-MA窗口；grid与province-year FE；2度空间块wild bootstrap 1,999次及空间HAC复核","发布完整失败报告及全部五区、SM和物候边界；Round 2为72/100、0 Critical、3 Major、4 Minor；公共失败报告最终核验PASS只确认披露准确","Reviewed failure evidence only; not a submission candidate","mixed","repo://docs/results/regional-threshold-sr-override-v1/report.md|repo://quality_reports/plans/2026-07-15_regional_threshold_override_method_review_round2.md|repo://quality_reports/plans/2026-07-15_regional_threshold_override_failure_public_final_review.md|local://temp/2026-07-15_regional_threshold_daily_override_full_v2/run_manifest.json","FAIL/REVIEWED_NOT_CANDIDATE；公共报告PASS不改变失败状态，不授权Round 3或更有利的阈值、窗口、样本与函数形式搜索"
"compound-event-intensity-duration-override-v1","Compound-event intensity-duration SR override v1","analysis","analysis_release","2026-07-15","2026-07-18","2026-07-15","2026-07-15","2026-07-18","reference","historical_internal_candidate_under_event_structure_revision","git-native","compound-event-intensity-duration-v1","","data-v3-main|data-v3-phenowindows|analysis-v3prhd","Continued the stopped smoke branch to full five-zone event, yield and soil-moisture analyses and made the triggered joint duration-intensity model the reviewed main specification","使用V3五区61,918个grid-years、19,749个grids以及147,648行完整事件panel；同时保留扩展窗口、严格V3-MA窗口、重叠事件支持和恢复样本","联合估计duration与mean intensity并保留分别模型；grid与province-year FE；2度同步Rademacher/Webb 1,999次、Romano-Wolf/Holm、100/200/300 km HAC、R/Stata复算，以及antecedent/drawdown和固定IPCW/RMST","保留2026-07-15内部候选小稿和自包含三图；2026-07-18增加主设计缺少事件指示变量的结构审计，明确现有结果是含无事件0值的季节聚合暴露关系；未重新估计模型","Historical internal candidate record with unresolved event-model Critical; not a current submission candidate","mixed","repo://docs/results/compound-event-intensity-duration-override-v1/report.md|repo://docs/results/compound-event-intensity-duration-override-v1/figures.html|repo://quality_reports/plans/2026-07-15_hotdry_event_override_method_review_round2.md|local://temp/2026-07-15_compound_event_override_report_v3/report_run_manifest.json","内部91分记录不再代表当前投稿就绪度；修正后的事件发生与严重程度两部分模型必须使用新canonical ID"
"report-sr-method-portfolio-web-reader-v1","SR method portfolio GPT web reader v1","report","public_report_umbrella","2026-07-17","2026-07-18","2026-07-17","","2026-07-18","umbrella","public_web_reader_portfolio_index","git-native","","","g185-old-method-unified-override-v1|regional-threshold-sr-override-v1|compound-event-intensity-duration-override-v1","Published a GitHub-native reading entry for the three empirical directions, the 37-paper method inventory and the later external-review corrections","未改变数据、样本、变量口径或任何本地机器资产；仅发布脱敏Markdown摘要","未改变estimand、模型、固定效应、推断或数值；仅汇总既有结果和后续方法审阅边界","新增GitHub网页端阅读顺序、G185端点表、事件模型结构审计、37篇文献公开索引和可直接提交网页端的任务说明","Public web-reader and review entry; it does not produce a new empirical estimate","public","repo://docs/results/report-sr-method-portfolio-web-reader-v1/report.md","This umbrella does not restore the threshold direction as a candidate and does not convert internal candidate scores into current submission readiness"
